Stock,FeatureSet,FeatureCount,Hypothesis,MAE,RMSE,R2,Direction_Accuracy
GNS,Full_Features,17,H2,0.050531267841008635,0.065282045860864,-0.656068208038715,0.5135135135135135
VANQ,Price_Only,5,H2,0.1165834439059218,0.1591462942393555,-1.3042008618825984,0.46846846846846846
VANQ,Price_Tech,13,H2,0.12838430009272647,0.17017050710147408,-1.6344857874236336,0.4594594594594595
VANQ,Full_Features,17,H2,0.1242243315407983,0.16819709540951067,-1.573737541128183,0.47927927927927927
MCB,Price_Only,5,H2,0.07306597211208189,0.09794244577939604,-0.7792601528627081,0.5297297297297298
MCB,Price_Tech,13,H2,0.07775885343253852,0.103908060641861,-1.002608435990581,0.5261261261261261
MCB,Full_Features,17,H2,0.059531582532622015,0.08436977950991872,-0.3202962545472141,0.46846846846846846
ZIG,Price_Only,5,H2,0.02691398783462662,0.035951689157613737,-0.132335204367938,0.5153153153153153
ZIG,Price_Tech,13,H2,0.028443427503618262,0.03787717233171614,-0.25687332528638884,0.4954954954954955
ZIG,Full_Features,17,H2,0.03541556681641479,0.04456558195755099,-0.7399452137632989,0.5261261261261261
EVOK,Price_Only,5,H2,0.21709239048686674,0.26945924947171623,-7.521151081283902,0.5099099099099099
EVOK,Price_Tech,13,H2,0.2176372764077901,0.2643154636177756,-7.198930742893468,0.4594594594594595
EVOK,Full_Features,17,H2,0.2130954590151772,0.26651017721388276,-7.335653818919507,0.4918918918918919
PHAR,Price_Only,5,H2,0.034937251643888216,0.04293653983057742,-0.21011451134419112,0.4900900900900901
PHAR,Price_Tech,13,H2,0.0490567378314075,0.06183332336203463,-1.5096754485732315,0.4918918918918919
PHAR,Full_Features,17,H2,0.04160209990434784,0.05294397875153217,-0.8399479383955124,0.5171171171171172
CARR,Price_Only,5,H2,0.038498194058420455,0.050999239998131066,-0.19401320344558348,0.418018018018018
CARR,Price_Tech,13,H2,0.039137265006947114,0.052961862452987146,-0.28768079653169387,0.43423423423423424
CARR,Full_Features,17,H2,0.03796519660335612,0.05176024710942173,-0.22991303112205763,0.44684684684684683
IWG,Price_Only,5,H2,0.04872868180695921,0.06696658975446523,-0.5705939257107744,0.4810810810810811
IWG,Price_Tech,13,H2,0.04891340580375143,0.06573313563099772,-0.5132693865188729,0.44684684684684683
IWG,Full_Features,17,H2,0.04676997632977025,0.06371880558510823,-0.4219450038622665,0.46846846846846846
ULVR,Price_Only,5,H2,0.016823056944655287,0.02148489872026544,-0.1191790234087764,0.5135135135135135
ULVR,Price_Tech,13,H2,0.01763125909781753,0.021962265571440133,-0.1694649705117819,0.4936936936936937
ULVR,Full_Features,17,H2,0.019144003718705217,0.023414618597235412,-0.32925136804205013,0.4918918918918919
JUSC,Price_Only,5,H2,0.025459060923549666,0.03412031879728803,-0.14170208348763214,0.46846846846846846
JUSC,Price_Tech,13,H2,0.026591336346002647,0.03522693824122464,-0.21696035118621282,0.45765765765765765
JUSC,Full_Features,17,H2,0.033066353529496925,0.04258800878158788,-0.7786942574989875,0.44504504504504505
